contract_awarded_to,data_source,contract_award_price,contract_id,contract_title,awarding_agency_link,contract_signed_on,awarding_ministry,currency,awarding_agency,tender_description,estimated_contract_completion_date,tender_type,tender_lot_Numbers,address,scraped_time,company_email,tender_package_no,awarding_agency_ministry
East Cantonments Pharmacy,https://www.ppaghana.org/contractdetail.asp?Con_ID=1119,982500.0,1119.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,Various,"P.O.Box 20149
Accra",2017-10-06 15:39:20.338242,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
St. Kem Pharmaceuticals Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1120,160200.0,1120.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,Various,"P.O.Box AT 2082
Achimota-Accra",2017-10-06 15:39:34.102570,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Eastern Chemist Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1121,30500.0,1121.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,"112,250","P.O.Box 679
Koforidua",2017-10-06 15:39:23.480683,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Phileben Medical Supplies Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1122,91000.0,1122.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,Various,"P.O.Box 4680
Accra-Central",2017-10-06 15:39:34.184127,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Herona Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1123,671876.0,1123.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,Various,"5 Osabu Street
Ablenkpe-Accra",2017-10-06 15:39:38.251755,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Lymens Medical Supplies,https://www.ppaghana.org/contractdetail.asp?Con_ID=1124,372800.0,1124.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,Various,"P.O.Box DS1776
Dansoman-Accra",2017-10-06 15:39:45.834817,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Intravenous Infusions Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1125,882050.0,1125.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,Various,"P.O.Box KF63
Koforidua",2017-10-06 15:39:45.917166,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Rich Sam Pharmacy Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1126,102500.0,1126.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,165,"P.O.Box 3345
Accra",2017-10-06 15:40:29.775950,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Interpharma Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1127,29500.0,1127.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,"125,184,232","P.O.Box 1255
Koforidua",2017-10-06 15:39:53.024177,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Zodiac Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1128,454600.0,1128.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,Various,"P.O.Box DS221
Dansoman-Accra",2017-10-06 15:39:57.826625,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Pekwash Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=1129,280000.0,1129.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,Various,"P.O.Box 1377
Koforidua",2017-10-06 15:40:06.829798,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Benburto Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1130,1523.76,1130.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Essential Medicine s,2014-06-30,NCT,Various,"P.O.Box AN12890
Accra-North",2017-10-06 15:40:11.125135,,GHS/ER/NCT/2013/B.2.1/03,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Palb Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1131,118600.0,1131.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,Various,"P.O.Box KN 3418
Accra",2017-10-06 15:40:22.349949,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
St. Kem Pharmaceuticals Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1132,65000.0,1132.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,65,"P.O.Box AH 1358
Accra",2017-10-06 15:42:28.388306,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Investrade International (Gh) Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1133,1913399.0,1133.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,Various,"P.O.Box DS 389
Dansoman-Accra",2017-10-06 15:42:14.091527,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Herona Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1134,859824.0,1134.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,Various,"5 Osabu Street
Ablenkpe-Accra",2017-10-10 12:32:13.314556,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Ernest Chemists Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1135,98500.0,1135.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,Various,"P.O.Box 3345
Accra",2017-10-06 15:41:10.610736,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Max Hope Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1136,120000.0,1136.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,Various,"P.O.Box AF 60
Koforidua",2017-10-06 15:41:00.308724,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Frandak Agency,https://www.ppaghana.org/contractdetail.asp?Con_ID=1137,1948525.0,1137.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,Various,"P.O.Box 14516
Accra",2017-10-06 15:41:13.426200,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Stanbravo Co. Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1138,31980.0,1138.0,Health Sector Support Programme,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=696,2013-12-30,Ministry of Health,New Ghana Cedi,Office of the Regional Health DirectorateEastern Region,Procurement of Medical Supplies (Consumles),2014-06-30,NCT,Various,"P.O.Box KJ613
Kumasi",2017-10-06 15:41:48.749928,,GHS/ER/NCT/2013/B.2.5/04,Office of the Regional Health DirectorateEastern Region/Ministry of Health
Bright Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=1139,17403.18,1139.0,Procurement of General Goods (Phase 1),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1383,2013-09-20,Ministry of Education,New Ghana Cedi,University of Mines and Technology -Tarkwa,Lot 1: Stationery     Lot 2: Photocopy Toner Cartridge     Lot 3: Printers Cartridge     Lot 4: Electrical Appliances     Lot 5: Computer Accessories     Lot 6: Furniture and Others,2013-10-04,NCT,1,"P. O. Box 3468
Accra Central
Accra",2017-10-06 15:41:45.873718,,UMaT/NCT/GEN-GOODS/2013,University of Mines and Technology -Tarkwa /Ministry of Education
Bright Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=1140,6279.0,1140.0,Procurement of General Goods (Phase 1),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1383,2013-09-20,Ministry of Education,New Ghana Cedi,University of Mines and Technology -Tarkwa,Lot 1: Stationery     Lot 2: Photocopy Toner Cartridge     Lot 3: Printers Cartridge     Lot 4: Electrical Appliances     Lot 5: Computer Accessories     Lot 6: Furniture and Others,2013-10-04,NCT,2,"P. O. Box 3468
Accra Central
Accra",2017-10-06 15:42:11.969995,,UMaT/NCT/GEN-GOODS/2013,University of Mines and Technology -Tarkwa /Ministry of Education
Ostenfield Enterprise,https://www.ppaghana.org/contractdetail.asp?Con_ID=1141,64265.05,1141.0,Procurement of General Goods (Phase 1),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1383,2013-09-20,Ministry of Education,New Ghana Cedi,University of Mines and Technology -Tarkwa,Lot 1: Stationery     Lot 2: Photocopy Toner Cartridge     Lot 3: Printers Cartridge     Lot 4: Electrical Appliances     Lot 5: Computer Accessories     Lot 6: Furniture and Others,2013-10-04,NCT,3,"P. O. Box 347
Teshie Nungua",2017-10-06 15:42:17.411364,,UMaT/NCT/GEN-GOODS/2013,University of Mines and Technology -Tarkwa /Ministry of Education
Kingsdeco Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1142,25936.04,1142.0,Procurement of General Goods (Phase 1),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1383,2013-09-20,Ministry of Education,New Ghana Cedi,University of Mines and Technology -Tarkwa,Lot 1: Stationery     Lot 2: Photocopy Toner Cartridge     Lot 3: Printers Cartridge     Lot 4: Electrical Appliances     Lot 5: Computer Accessories     Lot 6: Furniture and Others,2013-10-04,NCT,4,"P. O. Box MC 3030
Market Circle
Takoradi",2017-10-06 15:42:20.633828,,UMaT/NCT/GEN-GOODS/2013,University of Mines and Technology -Tarkwa /Ministry of Education
Onua Francis Comp. Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1143,5640.0,1143.0,Procurement of General Goods (Phase 1),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1383,2013-09-20,Ministry of Education,New Ghana Cedi,University of Mines and Technology -Tarkwa,Lot 1: Stationery     Lot 2: Photocopy Toner Cartridge     Lot 3: Printers Cartridge     Lot 4: Electrical Appliances     Lot 5: Computer Accessories     Lot 6: Furniture and Others,2013-10-04,NCT,5,"P. O. Box 1435
Kaneshie
Accra",2017-10-06 15:42:28.507609,,UMaT/NCT/GEN-GOODS/2013,University of Mines and Technology -Tarkwa /Ministry of Education
Onua Francis Comp. Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1144,18555.0,1144.0,Procurement of General Goods (Phase 1),https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1383,2013-09-20,Ministry of Education,New Ghana Cedi,University of Mines and Technology -Tarkwa,Lot 1: Stationery     Lot 2: Photocopy Toner Cartridge     Lot 3: Printers Cartridge     Lot 4: Electrical Appliances     Lot 5: Computer Accessories     Lot 6: Furniture and Others,2013-10-04,NCT,6,"P. O. Box 1435
Kaneshie
Accra",2017-10-06 15:42:41.925446,,UMaT/NCT/GEN-GOODS/2013,University of Mines and Technology -Tarkwa /Ministry of Education
AL IDDISAH AND COMPANY LLIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1145,71638754.0,1145.0,PROCUREMENT OF WORKS,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-08-31,NCT,4,"P. O. BOOX MP2817
MAMPROBI ACCRA",2017-10-06 15:42:32.208438,,GRA/NCT/WKS/10/01/2013t,Ghana Revenue Authority/Ministry of Finance
AyTech Electricals Eng. Solutions Ltd,https://www.ppaghana.org/contractdetail.asp?Con_ID=1146,37914.61,1146.0,4X4 PICKUPS  FOR CCE,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1376,2014-01-09,Ministry of Education,New Ghana Cedi,University Of Cape Coast (UCC),QUANTITY: 4,2014-02-23,NCT,1,P. O. Box AN 15657,2017-10-06 15:42:58.237143,,CR/UCC/GD/0054/2014,University Of Cape Coast (UCC) /Ministry of Education
TOYOTA GHANA COMPANY LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1149,619069.4,1149.0,Supply of Vehicles,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1376,2013-08-16,Ministry of Education,New Ghana Cedi,University Of Cape Coast (UCC),Lot 1: 4x4 Double Cabin Pick up     Lot 2: 33 Seater Bus for IFCIA and SRC    Lot 3: 15 Seater Bus for University Hostel and Shuttle Bus Service.,2013-10-16,NCT,1 to 3,"P. O. Box 1644
ACCRA",2017-10-06 15:43:22.766386,,CR/UCC/GD/0015/2013,University Of Cape Coast (UCC) /Ministry of Education
MERICOM SOLUTIONS LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1150,29013684.0,1150.0,PROCUREMENT OF COMPUTERS AND ACCESSORIES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-11,NCT,4,"P. O. BOX CO819
TEMA",2017-10-06 15:43:08.412531,,GRA/NCT/03/01/2013,Ghana Revenue Authority/Ministry of Finance
PERFECT BUSINESS SYSTEMS,https://www.ppaghana.org/contractdetail.asp?Con_ID=1151,433500.0,1151.0,PROCUREMENT OF COMPUTERS AND ACCESSORIES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-11,NCT,5,P. O. BOX GP 13724,2017-10-06 15:43:09.967412,,GRA/NCT/03/01/2013,Ghana Revenue Authority/Ministry of Finance
IPMC,https://www.ppaghana.org/contractdetail.asp?Con_ID=1152,18829965.0,1152.0,PROCUREMENT OF COMPUTERS AND ACCESSORIES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2014-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-11,NCT,6,"P. O. BOX 7617
ACCRA",2017-10-06 15:43:16.023384,,GRA/NCT/03/01/2013,Ghana Revenue Authority/Ministry of Finance
CENTRAL FURNITURE WORKS,https://www.ppaghana.org/contractdetail.asp?Con_ID=1153,287500.0,1153.0,PROCUREMENT OF OFFICE FURNITURE,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-11,NCT,5,"P. O. BOX KN188
KANESHIE ACCRA",2017-10-06 15:43:44.479822,,GRA/NCT/06/01/2013,Ghana Revenue Authority/Ministry of Finance
RANA MOTORS & METAL WORKS ENG CO. LTD,https://www.ppaghana.org/contractdetail.asp?Con_ID=1154,825000.0,1154.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1327,2013-12-11,,New Ghana Cedi,Ghana Civil Aviation Authority,,2014-03-11,,1,"P. O. BOX 7117
ACCRA NORTH",2017-10-06 15:43:32.028954,,,Ghana Civil Aviation Authority /
PLATINUM FURNITURE LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1155,147600.0,1155.0,,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1339,2013-12-11,,New Ghana Cedi,Ghana Shippers Authority,,2014-01-11,,"3A, 3B","P. O. BOX KIA 18143
AIRPORT",2017-10-06 15:43:50.535911,,,Ghana Shippers Authority /
CENTRAL FURNITUR WORKS,https://www.ppaghana.org/contractdetail.asp?Con_ID=1156,201250.0,1156.0,PROCUREMENT OF OFFICE FURNITURE,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,,NCT,1,"P. O. BOX KN 188
KANESHIE ACCRA",2017-10-06 15:43:41.407838,,GRA/NCT/06/01/2013,Ghana Revenue Authority/Ministry of Finance
CENTRAL FURNITUR WORKS,https://www.ppaghana.org/contractdetail.asp?Con_ID=1157,201250.0,1157.0,PROCUREMENT OF OFFICE FURNITURE,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-11,NCT,1,"P. O. BOX KN 188
KANESHIE ACCRA",2017-10-06 15:44:10.187117,,GRA/NCT/06/01/2013,Ghana Revenue Authority/Ministry of Finance
PLATINUM FURNITURE LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1158,690000.0,1158.0,PROCUREMENT OF OFFICE FURNITURE,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-11,NCT,2,"P. O. BOX KIA 18143
AIRPORT",2017-10-06 15:44:10.784879,,GRA/NCT/06/01/2013,Ghana Revenue Authority/Ministry of Finance
GLOFAG LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1159,169050.0,1159.0,"PROCUREMENT OF PREVENTIVE ITEMS, SPORTS EQUIPMENT",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,LOT 1-6 PREVENTIVE ITEMS  LOT 7 UNIFORM MATERIAL,2014-01-11,NCT,4,P. O. BOX GP 90,2017-10-06 15:44:10.613437,,GRA/NCT/07/01/2013,Ghana Revenue Authority/Ministry of Finance
GLOFAG LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1160,1329975.0,1160.0,"PROCUREMENT OF PREVENTIVE ITEMS, SPORTS EQUIPMENT",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,LOT 1-6 PREVENTIVE ITEMS  LOT 7 UNIFORM MATERIAL,2014-01-11,NCT,3,"P. O. BOX GP 90
ACCRA",2017-10-06 15:44:10.892782,,GRA/NCT/07/01/2013,Ghana Revenue Authority/Ministry of Finance
ROTSAM GHANA LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1161,158700.0,1161.0,"PROCUREMENT OF PREVENTIVE ITEMS, SPORTS EQUIPMENT",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,LOT 1-6 PREVENTIVE ITEMS  LOT 7 UNIFORM MATERIAL,2014-01-11,NCT,2,"P. O. BOX CO 3185
TEMA",2017-10-10 12:33:37.501709,,GRA/NCT/07/01/2013,Ghana Revenue Authority/Ministry of Finance
ROTSAM GHANA LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1162,158700.0,1162.0,"PROCUREMENT OF PREVENTIVE ITEMS, SPORTS EQUIPMENT",https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,LOT 1-6 PREVENTIVE ITEMS  LOT 7 UNIFORM MATERIAL,2014-01-11,NCT,2,"P. O. BOX CO 3185
TEMA",2017-10-06 15:44:41.349805,,GRA/NCT/07/01/2013,Ghana Revenue Authority/Ministry of Finance
Stallion Motors (Gh) Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1163,279720.0,1163.0,Supply of Saloon Car,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=325,2013-11-27,Ministry of Trade and Industry,New Ghana Cedi,Ghana Investment Fund for Electronic Communication,Supply of Saloon Car,2013-12-27,NCT,1,"P. O. Box AN 3449,
Accra",2017-10-06 15:44:41.246433,,GIPC/GoG/Veh/Feb/2013,Ghana Investment Fund for Electronic Communication /Ministry of Trade and Industry
Toyota Ghana Company Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1164,580500.0,1164.0,PROCUREMENT OF VEHICLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=305,2013-12-03,Ministry of Environment Science and Technology,New Ghana Cedi,Environmental Protection Agency,LOT 1: 3 Cross country vehicles  LOT 2: 3 4X4 cin pick-ups,2013-01-03,NCT,2,"P. O. Box 1644
Kaneshie-Accra",2017-10-06 15:44:40.763952,,EPA/NCT/VEH/002/13,Environmental Protection Agency/Ministry of Environment Science and Technology
Stallion Motors (Ghana) Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1165,279720.0,1165.0,Supply of Vehicles,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=305,2013-11-27,Ministry of Environment Science and Technology,New Ghana Cedi,Environmental Protection Agency,"a) Saloon Cars, 2  b) Executive Saloon Cars, 2",2013-12-27,NCT,1,"P. O. Box KN 3449
Kaneshie-Accra",2017-10-06 15:45:00.891993,,GR/EPA/GD/0012/2013,Environmental Protection Agency/Ministry of Environment Science and Technology
Stallion Motors (Ghana) Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1166,279720.0,1166.0,PROCUREMENT OF VEHICLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=305,2013-11-27,Ministry of Environment Science and Technology,New Ghana Cedi,Environmental Protection Agency,a. 2 Saloon Cars -   b. 2 Executive Saloon cars,2013-12-27,NCT,1,"P. O. Box KN 3449,
Kaneshie-Accra",2017-10-06 15:44:56.656718,,GR/EPA/GD/0012/2013,Environmental Protection Agency/Ministry of Environment Science and Technology
Stallion Motors (Ghana) Limited,https://www.ppaghana.org/contractdetail.asp?Con_ID=1167,279720.0,1167.0,PROCUREMENT OF VEHICLES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=305,2013-11-27,Ministry of Environment Science and Technology,New Ghana Cedi,Environmental Protection Agency,a. 2 Saloon Cars -   b. 2 Executive Saloon cars,2013-12-27,NCT,1,"P. O. Box KN 3449,
Kaneshie-Accra",2017-10-06 15:45:00.971003,,GR/EPA/GD/0012/2013,Environmental Protection Agency/Ministry of Environment Science and Technology
IPMC,https://www.ppaghana.org/contractdetail.asp?Con_ID=1170,143660.02,1170.0,Supply and Installation of Printers,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=283,2014-01-27,Ministry of Finance,New Ghana Cedi,Social Security and National Insurance Trust (SSNIT),Supply and Installation of Printers,2014-03-27,NCT,1,"IPMC
P. O. Box AN 7617
Accra - North",2017-10-06 15:45:32.988122,,GR/SSNIT/GD/0024/2013,Social Security and National Insurance Trust (SSNIT) /Ministry of Finance
OBAAKWAA ENTERPRISE LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1171,173673.67,1171.0,REFURBISHMENT OF OFFICE BLOCK,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=1430,2013-12-23,Ministry of Local Government and Rural Development,New Ghana Cedi,Sagnarigu District Assembly,,2014-03-17,NCT,1,P. O. BOX KU 78 - WINNEBA,2017-10-06 15:45:40.133202,,MLGRD/GUMPP/NCT/WKS/2013/01,Sagnarigu District Assembly/Ministry of Local Government and Rural Development
TRANS GHANA COMMUNICATION LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1172,215855.0,1172.0,PROCUREMENT OF COMMUNICATION EQUIPMENT,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-01,NCT,2,"P .O. BOX KIA30425
AIRPORT ACCRA",2017-10-06 15:45:59.446878,,GRA/NCT/09/01/2013,Ghana Revenue Authority/Ministry of Finance
TRANS GHANA COMMUNICATION LIMITED,https://www.ppaghana.org/contractdetail.asp?Con_ID=1173,671025.0,1173.0,PROCUREMENT OF COMMUNICATION EQUIPMENT,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-01,NCT,3,"P. O. BOX KIA 30425
AIRPORT ACCRA",2017-10-06 15:45:59.639656,,GRA/NCT/09/01/2013,Ghana Revenue Authority/Ministry of Finance
IPMC,https://www.ppaghana.org/contractdetail.asp?Con_ID=1174,20386349.0,1174.0,PROCUREMENT OF COMPUTERS AND ACCESSORIES,https://www.ppaghana.org/AgencyOverview.asp?AGENCY_ID=282,2013-12-11,Ministry of Finance,New Ghana Cedi,Ghana Revenue Authority,,2014-01-11,NCT,8,"P. O. BOX AN7617
ACCRA",2017-10-06 15:46:03.039503,,GRA/NCT/03/01/2013,Ghana Revenue Authority/Ministry of Finance
